@relation 'EPA Eastern Lakes Survey - 1984-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum numeric
@attribute calcium numeric
@attribute carbonate numeric
@attribute color numeric
@attribute elevation numeric
@attribute inlets {zero,one,few,many}
@attribute potassium numeric
@attribute area numeric
@attribute type {lake,pond,reservoir,swamp}
@attribute volume numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute ammonium numeric
@attribute nitrate numeric
@attribute outlets {zero,few,one}
@attribute precipitation numeric
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate numeric
@attribute ph {low,high}

@data
40.2,0.433,0.002,5,78,zero,0.321,13.099998,lake,0.334,44.908325,-67.891663,0.018,0.003,zero,1.321,25,2.206,low
228,3.852,0.003,100,32.6,few,1.26,188,lake,2.966,27.528046,-81.484131,0.022,0.189,one,1.431,10,9.68,low
17,0.99,0.006,15,483.1,zero,0.67,6.299999,lake,0.24,45.820526,-89.603027,0.05,0.076,zero,0.885,10,2.99,low
15,0.96,0.006,20,484.3,zero,0.7,8.399994,lake,0.394,46.166656,-90.119385,0.02,0.016,zero,0.885,10,2.42,low
116.4,1.567,0.012,45,333.8,zero,0.821,14.099998,pond,0.301,45.654144,-69.927734,0.129,0.008,zero,0.994,20,3.995,low
234,1.01,0.007,15,486.2,zero,0.48,17.399994,lake,1.55,45.862488,-89.611084,0.05,0.047,zero,0.885,10,2.51,low
45.2,1.276,0.015,20,161.2,one,0.31,11.799995,pond,0.318,43.294434,-71.429138,0.06,0.025,zero,1.069,15,3.756,low
61,2.535,0.014,75,167.6,one,0.956,4.599998,pond,0.051,43.338867,-71.541626,0.026,0.018,one,1.102,20,6.243,low
24.5,1.045,0.005,22.5,367.3,zero,0.655,5.399998,lake,0.06,46.059998,-91.724121,0.005,0.0035,zero,0.869,10,3.22,low
200,2.81,0.007,200,423.1,zero,0.45,5.699997,lake,0.079,47.704163,-93.097168,0.06,0.303,zero,0.797,5,1.82,low
86,1.11,0.005,34,454.2,one,0.324,33.5,lake,0.622,48.019989,-91.987488,0,0,one,0.786,5,2.51,low
